Country,Region,Happiness.Rank,Happiness.Score,Whisker.high,Whisker.low,Economy..GDP.per.Capita.,Family,Health..Life.Expectancy.,Freedom,Generosity,Trust..Government.Corruption.,Dystopia.Residual
Canada,North America,7,7.315999985,7.384402835,7.247597134,1.479204416,1.481348991,0.834557652,0.611100912,0.435539722,0.287371516,2.187264442
New Zealand,Australia and New Zealand,8,7.31400013,7.379510442,7.248489818,1.405706048,1.548195124,0.816759706,0.61406213,0.500005126,0.382816702,2.046456337
Australia,Australia and New Zealand,10,7.28399992,7.356651225,7.211348615,1.484414935,1.510041952,0.843886793,0.601607382,0.47769925,0.30118373,2.065210819
Costa Rica,North America,12,7.078999996,7.168111666,6.989888326,1.109706283,1.416403651,0.759509265,0.58013165,0.214613229,0.100106589,2.898639202
United States,North America,14,6.993000031,7.074656748,6.911343313,1.546259284,1.419920564,0.774286628,0.505740523,0.392578781,0.135638788,2.218113422
Chile,South America,20,6.65199995,6.73925056,6.564749341,1.25278461,1.284024954,0.819479704,0.376895279,0.326662421,0.082287982,2.509585857
Brazil,South America,22,6.635000229,6.725469502,6.544530956,1.10735321,1.431306005,0.616552353,0.437453747,0.162349895,0.111092761,2.769267082
Argentina,South America,24,6.598999977,6.690085086,6.507914868,1.185295463,1.440451145,0.695137084,0.494519204,0.109457061,0.059739888,2.614005327
Mexico,North America,25,6.578000069,6.671148908,6.48485123,1.153183818,1.21086216,0.709978998,0.412730008,0.120990433,0.132774115,2.837154865
Uruguay,North America,28,6.453999996,6.545906218,6.362093775,1.217559695,1.412227869,0.719216824,0.579392254,0.175096929,0.178061873,2.172409534
Guatemala,North America,29,6.453999996,6.566873973,6.34112602,0.872001946,1.255585194,0.54023999,0.531310618,0.283488393,0.077223279,2.893891096
Panama,North America,30,6.452000141,6.557130716,6.346869566,1.233748436,1.373192549,0.706156135,0.550026834,0.210556939,0.070983924,2.307199955
Colombia,South America,36,6.356999874,6.452020054,6.261979694,1.070622325,1.402182937,0.595027924,0.477487415,0.149014473,0.046668742,2.616068125
Trinidad and Tobago,South America,38,6.168000221,6.381533891,5.954466552,1.361355901,1.380228519,0.519983292,0.518630743,0.325296462,0.008964816,2.053247452
Ecuador,South America,44,6.007999897,6.105847675,5.910152119,1.000820398,1.286168814,0.685636222,0.455198199,0.150112465,0.140134647,2.290352583
El Salvador,North America,45,6.002999783,6.108635122,5.897364443,0.909784496,1.182125092,0.596018553,0.43245253,0.078257985,0.08998096,2.714593887
Bolivia,South America,58,5.822999954,5.903976903,5.742023006,0.833756566,1.227619052,0.47363025,0.558732927,0.225560725,0.060477726,2.443279028
Peru,South America,63,5.715000153,5.811946779,5.618053527,1.035225272,1.218770385,0.630166113,0.450002879,0.126819715,0.047049087,2.567603827
Paraguay,South America,70,5.493000031,5.57738127,5.408618791,0.932537317,1.50728488,0.579250693,0.473507792,0.224150658,0.091065913,1.784892559
Jamaica,North America,76,5.31099987,5.581398728,5.040601012,0.925579309,1.368218064,0.641022384,0.474307239,0.233818337,0.055267781,1.357508659
Venezuela,South America,82,5.25,5.370031946,5.129968054,1.128431201,1.431337595,0.617144227,0.153997123,0.06501963,0.064491123,1.972604752
Dominican Republic,North America,86,5.230000019,5.349060885,5.110939153,1.079373837,1.402416706,0.574873745,0.552589834,0.18696785,0.113945253,1.612325668
Honduras,North America,91,5.181000233,5.301582797,5.060417669,0.730573118,1.143944979,0.58256948,0.34807986,0.236188874,0.073345453,1.429476976
Haiti,North America,145,3.602999926,3.734714798,3.471285053,0.368610263,0.640449822,0.27732113,0.030369857,0.489203781,0.09987215,1.873983383
Belize,North America,50,5.955999851,6.197242318,5.714757385,0.907975316,1.081417799,0.450191766,0.547509372,0.240015641,0.096581072,2.631955624
